OutPut Text

1: pectedly
3: peculi 
33: peculiar
1: peculiar 
8: peculiarities
3: peculiarity
1: peculiarity 
3: peculiarly
2: peddler
1: peddlers 
1: peddling
1: pede 
1: pedestal 
1: pedestals
2: pedestrian
1: pedestrians
2: pedro
3: pedro 
1: peels
4: peep
1: peep 
3: peeped
1: peeping
1: peer
1: peered
4: peering
1: peg
1: peg 
1: pegging
1: pegu
1: pehee nuee nuee 
1: pekee nuee nuee 
35: peleg
30: peleg 
6: peleg  
1: peleg s
1: pell mell
1: pell mell 
1: pelled 
1: pelted
1: peltry
1: pelvis
2: pen
3: pen 
1: penalties
4: pencil
1: pend
1: pendants
1: pended
1: penem
2: penetrate
1: penetrated
1: pennant 
1: pennies
1: penniless 
3: penny
1: pensable
1: pent
1: peophet
27: people
1: people 
3: people s
1: peopling
1: pepper
1: peppered 
1: peqiiod 
1: peqiwd s
32: pequod
26: pequod 
1: pequod a
1: pequod b
6: pequod s
1: per
5: per 
3: perceive
3: perceived
1: perceived 
1: perceiving
1: perceptibility 
1: perceptible
1: perceptibly
1: perception 
2: perch
2: perchance
2: perchance 
5: perched
2: perches
1: perdition
1: perdition s
1: peremptorily
1: peremptory 
2: perennial
2: perfect
1: perfected 
1: perfectly
2: perfidious
1: perform
2: performances
1: performances 
2: performing
1: perfumed 
37: perhaps
19: perhaps 
5: peril
2: peril 
7: perilous
1: perilousness
16: perils
4: perils 
5: period
1: period 
1: periodic 
2: periodical
1: periodical 
2: periodically
1: perish
2: perished
1: perished 
1: perisheth
1: perishing
1: perishing 
3: permanent
1: permanently
2: permit
3: permitted
1: permitted 
5: perpendicular
3: perpendicularly
1: perpetually
1: perpetuated
1: perquisites
3: perry
1: perse 
2: perseus
1: perseus 
1: perseverance
1: persevering
4: persian
1: persians
1: persist
1: persisted
1: persisting
11: person
7: person 
2: person s
2: personal
4: personally
2: personally 
1: personified
1: personified 
3: persons
1: persons 
1: perspective
1: persuade 
1: persuasions 
1: persuasive 
2: pertaining
1: pertains
1: perturbation 
1: perty
2: peru 
1: pervades
3: pervading
1: perverse
1: pestiferously
1: pestilent
7: peter
1: peterson
1: petrified
1: petticoat 
3: pewter
2: pewter 
1: phan 
9: phantom
2: phantom 
4: phantoms
2: phantoms 
1: phase
1: phe 
1: phenomenon
1: phenomenon 
1: phil 
1: philip 
1: philippe 
1: philistine
1: philologically
2: philosopher
2: philosopher 
1: philosophers
3: philosophers 
1: philosophical
1: philosophically
2: philosophy
1: philosophy 
1: phiz
1: phospher
2: phrase
1: phrase 
1: phraseology 
1: phrases 
1: phrenologically
1: phsedon
2: physeter
3: physical
1: piazza
5: pick
2: pick 
5: picked
1: picked 
3: picking
1: pickle 
1: pickles
1: pictorial
12: picture
3: picture 
1: picture s
19: pictures
1: picturesque
1: picturesque 
1: picturesquely
2: picturesqueness
8: piece
1: piece 
3: pieces
1: pieces 
1: pier heads
1: pierce
1: pierced
1: piercing
1: piers
1: piety
1: piety 
1: pig
1: pig fish
1: pike
1: pike 
1: pikes
1: pikestaff 
1: pilau 
3: pile
6: piled
1: piled up
1: piles
1: pilgrim
1: pilgrim s
1: pilgrim worshipped
1: pilgrims
1: piling
1: pillar
1: pillars 
2: pillow
2: pillow 
9: pilot
4: pilot 
1: pilot cloth
2: pilot cloth 
1: pilot s
1: piloted
2: pilots
1: pin
1: pin 
1: pinched
3: pine
1: pine tree
1: pine tree 
3: pines
1: pinioned
1: pinned
1: pins 
1: pint
1: pioneer
6: pious
1: pious 
7: pip
4: pip 
17: pipe
9: pipe 
1: pipe s
2: pipes
1: piping
2: pirate
3: pirate 
5: pirates
2: pirates 
1: pirohitee s
4: pistol
2: pistol 
1: pistols
4: pit
1: pit 
1: pitable 
4: pitch
1: pitch 
1: pitch like
1: pitch pine
6: pitched
1: pitches
2: pitching
1: pitferren  
1: pitiful
1: pitiful 
1: pitiless
1: pitted
5: pity
1: pity 
2: pivot
1: pizarro 
41: place
14: place 
19: placed
1: placelessly
7: places
2: places 
1: placidly
6: placing
1: plagues
3: plaguy
12: plain
5: plain 
2: plainest
17: plainly
2: plainly 
2: plains
1: plains 
1: plaited
6: plan
2: plane
1: plane 
1: planed
1: planet
1: planet 
1: planets 
2: planing
4: plank
5: plank 
4: planks
9: planks 
1: planned 
1: plans
3: plant
2: plantation 
5: planted
2: planting
2: plaster
1: plata
4: plate
1: plate 
4: plates
1: platform 
1: platformed
1: platonian
1: platonist
1: platonists
1: platters 
1: plaudits
8: play
4: play 
2: playful
1: playing
1: plaza 
7: pleasant
2: pleasant 
1: pleasantly 
1: pleasantness 
5: please
4: please 
4: pleased
1: pleased 
1: pleasing
1: pleasure 
1: pleasuring 
1: plebeian
1: pledge
1: plentiful
1: plentifully
6: plenty
1: plenty  
1: pletely
2: plexion
1: pliable
1: plicit 
1: plight
1: plight 
1: pliny
2: pliny 
1: plish
2: ploughing
1: pluck
1: plucked
1: plug
1: plug hole
1: plum pudding
1: plum puddingers
1: plumage 
1: plumb
1: plumbs
1: plumed
1: plummet
2: plump
2: plunder
1: plunge
4: plunged
3: plunging
1: plungings
1: plutarch s
2: ply
1: plying
3: pocket
2: pocket 
1: pocketing
2: pockets
5: pockets 
1: poem
1: poet
1: poet 
1: poetic
1: poetic 
1: poetical
2: poets
26: point
3: point 
7: pointed
5: pointing
5: points
1: points 
1: poise
1: poise  
1: poised
1: poising
2: poison 
1: poisonous
1: poke
1: poker 
1: poland 
7: polar
1: pole
2: pole 
1: poles
3: poles 
1: police officer
1: policemen
2: policy
1: polish 
5: polished
4: polite
2: politely
1: politeness 
2: political
2: pollard
1: pollard 
1: poly 
1: polynesia
1: polynesian
1: pommel
1: pomp
1: pomps
1: ponchos 
1: ponder 
3: pondered
1: pondering
1: ponderings 
6: ponderous
1: poniard
1: pontoppodan
1: pooh
1: pooh 
1: pool
1: poon
1: poon 
3: pooneer
1: pooneer 
1: pooneers
4: pooneers 
1: poons
1: poop
38: poor
1: poor 
1: poor devilish 
1: poorly
1: pope
1: popped
1: popping
8: popular
1: popularise
8: popularly
1: population
1: populous
3: por 
1: porch
1: porch 
1: porcupine
1: poring
1: pork
7: porpoise
7: porpoise 
2: porpoise  
2: porpoises
2: porpoises 
14: port
8: port 
1: portant
1: portent
3: portentous
1: portentous 
2: portents
1: porter
4: portion
1: portions
1: portions 
2: portly
3: portrait
1: portrait 
1: portraits
2: ports
1: ports 
1: portugal
2: portuguese
1: pose 
1: position
4: position 
1: positive
1: positively
2: posse
3: possess
1: possess 
3: possessed
1: possessed 
2: possessing
2: possession
1: possessions
2: possi 
1: possibilities
1: possibility 
16: possible
5: possible 
13: possibly
4: post
1: post 
1: post captain
1: posted
1: posterity 
1: postman
1: postpone
1: postponing
2: postscript
2: posture
1: pot 
1: potatoes 
1: potencies
2: potency
1: potency 
4: potent
1: potentially
1: potion
1: potluck
3: pots
3: pots 
1: pottowottamie
1: pottsfisch
1: pouch
3: pound
2: pounded
2: pounds
2: pour
2: poured
1: pouring
1: pours
1: povelson
1: povelson 
1: poverty stricken
2: powder 
1: powder casks
1: powder flask
1: powder pans
11: power
3: power 
1: power  
1: powerful
1: powerful 
1: powerfully
1: powerless
4: powers
1: practicable 
5: practical
1: practical 
3: practically
1: practices
5: prairie
2: prairie 
3: prairies
1: prairies 
1: prate
1: pray
3: pray 
1: prayed
2: prayer
1: prayer 
3: prayers 
3: praying
4: pre 
2: pre eminence
1: pre eminent
1: preach
1: preacher
2: preacher 
1: preacher s
1: preaching
1: preble 
1: precaution
1: precautionary
2: precede
1: preceded
1: precedence
1: precedes
1: preceding
1: precincts
2: precious
1: precipice 
1: precipitancy
7: precise
1: precise 
12: precisely
1: precisely 
1: precision
1: precision 
1: predecessor
1: predecessors 
1: predestin 
1: predestinated 
1: predicament 
1: predicted
1: prediction
2: predictions
1: predominating
1: preface
1: prefecture
1: prefer
1: preferred
1: prefers
1: prefigured
1: prefix
3: pregnant
2: prejudices
1: prejudices 
2: preliminaries
2: preliminary
1: preluding
1: prelusive
1: prema 
1: premature 
2: premises
1: premium
1: premium 
1: premonitory
1: prepara 
1: preparation 
2: preparations
1: preparatives
1: prepare
7: prepared
1: prepares
1: preparing
1: presaging
1: presby 
3: presbyterian
1: prescribed
1: prescription
1: prescriptive
4: presence
2: presence 
32: present
6: present 
2: presentations
10: presented
1: presented 
1: presentiment
1: presentiments
2: presenting
4: presently
5: presently 
1: presentment
1: presents
1: presents 
5: preserve
1: preserved
1: preserving
2: presided
1: presidency
1: president
1: presides
1: presiding
2: press
1: press  
3: pressed
2: pressure
2: prestige
1: presto
1: presumable
2: presume
2: presumed
1: presuming
2: presumption 
5: pretend
2: pretending
3: preternatural
1: preternaturalness 
20: pretty
2: prevail 
1: prevailed
1: prevailed 
1: prevailing
1: prevalent
3: prevent
1: prevents
13: previous
4: previous 
8: previously
3: prey
5: prey 
1: price 
1: prices 
2: prick
1: pricking
2: pride
1: pride 
5: priest
3: priest 
1: priests
3: primal
1: primary
4: prime
1: primer 
1: primers 
1: primeval
3: primitive
1: primitively
3: prince
2: princely
1: princes
1: princess
3: principal
1: principal 
3: principle
1: principles 
2: printed
1: printing 
2: prints
2: prior
3: priority
1: prising
1: prison 
1: prisoner
1: prisoners
10: private
1: private 
1: privateers 
1: privations
2: privilege
1: privileges 
10: pro 
1: probabilities 
3: probability
1: probability 
1: probable
1: probable 
7: probably
1: probably 
4: problem
1: procedure
4: proceed
3: proceed 
2: proceeded
2: proceeding
2: proceedings
3: proceeds
2: process
2: process 
1: procession 
3: processions
1: proclaimed
1: proclamation 
1: procopius
1: procopius 
2: procure
2: procured
1: procuring
3: prodigies
8: prodigious
1: prodigiously
2: prodigy
1: prodromus
3: produce
3: produced
1: produces
2: producing
1: producing 
4: profane
1: profane 
1: profaned
1: profanely
1: professed
3: profession
1: profession 
4: professional
1: professions
1: professions 
1: professor 
1: proffer
3: profile
1: profiles
3: profit
1: profitable
1: profitably
2: profits
1: profits 
9: profound
1: profound 
1: profounder
3: profoundest
1: profoundly
1: profundities
1: profundities 
1: profundity
1: profuse
1: progenitors 
1: progeny
1: programme
1: progress
1: progress 
2: project
4: projecting
1: projecting 
1: projections 
5: prolonged
1: prolonged 
1: prometheus
1: prominent
1: promiscuously
5: promise
2: promised
1: promises 
1: promising
1: promissory
1: promontories
3: promontory
1: promotion
1: promotion 
1: promptly
2: pronounced
1: pronouncing
1: proof
1: prop
1: propelled
1: propellers 
1: propensity
12: proper
5: properly
2: property
1: prophecy
1: prophecy 
1: prophesied
1: prophesies
1: prophesy
8: prophet
1: prophetic 
3: propontis 
2: proportionate
1: proportioned
2: propose
3: proposed
2: proprietor
1: proprietors
1: propriety
1: prose 
2: prosecution
1: prosecution  
5: prospect
1: prospectively
3: prospects
1: prosperous
1: protect
1: protected
1: protection
1: protes 
1: protested
1: protesting
1: protracted
1: protruding
4: proud
1: proud 
1: prouder 
2: proudly
5: prove
6: proved
3: proverb
2: provi 
1: provide
2: provided
1: providential 
2: provides
1: providing
1: province
1: provinces
1: provincialisms 
1: proving
1: provocation 
1: provoke
1: provoked
6: prow
6: prow 
1: prowling
1: prows
3: prudent
1: prudent 
1: prudential 
2: pry
1: pryed
2: prying
2: ps
1: psalmody
2: psalmody 
2: psalms 
5: public
1: publicly
5: published
1: publisher
1: pudding
1: pudding headed
3: puff 
1: puffed
1: puffing
4: puffs
1: puffs 
1: pugilists 
1: pugnacious
1: puissant
9: pull
18: pull 
6: pulled
11: pulling
8: pulpit
8: pulpit 
1: pulpit s
2: pulpits 
1: pulpy
1: pulsively 
2: pulverise
4: pump
1: pump 
1: pump handles
8: pumps
5: pumps 
3: punch
1: punch 
1: punch bowl
1: punches
2: punctilious
1: punctual
1: punctured
1: punish
1: punish 
1: punishment
1: punishment 
1: pur 
2: purchas 
1: purchased
1: purchasing
3: pure
3: purely
1: purest
1: purge
1: puritanic
1: puritans 
3: purple
1: purple 
1: purplish
1: purplish 
1: purplish yellow
3: purporting
15: purpose
9: purpose 
1: purposed
1: purposeless
2: purposely
2: purposes
1: purposing
1: purse
4: purse 
1: pursed
2: pursue
5: pursued
2: pursued 
2: pursuers
1: pursuers 
1: pursuing
12: pursuit
1: pursuit 
1: pursuits 
1: purty
3: push
4: pushed
1: pushed 
3: pushing
1: pusie
37: put
2: put 
1: puted
2: puts
10: putting
1: puzzle
3: puzzled
3: pyramid
3: pyramid 
1: pyramidical
1: pyramids
1: pyramids 
1: pythagorean
1: q
1: quadruped
1: quadruped 
1: quaffed
1: quailed
1: quaint
1: quaintness
1: quake
1: quaked
5: quaker
5: quaker 
1: quakeress
1: quakeress s
1: quakerish
1: quakerism 
3: quakers
1: qualified
2: qualities
1: qualities 
4: quality
1: quality 
5: quantity
1: quantity 
1: quarrel
1: quarrelsome
2: quarried
1: quartek deck
3: quarter
2: quarter 
1: quarter boat 
11: quarter deck
11: quarter deck 
3: quarters
1: quarters 
2: quarto
1: quarto 
1: quay
1: quebec 
9: quee 
4: queen
2: queen 
1: queen s
2: queens
1: queens 
93: queequeg
60: queequeg 
9: queequeg  
7: queequeg s
1: queequeg s 
20: queer
4: queer 
3: queerest
8: queg
1: queg 
1: quenchless
1: quent
1: quently
5: quest
2: quest 
12: question
6: question 
1: questionably
2: questioned
1: questioning
3: questions
3: questions 
13: quick
6: quick 
1: quicken
1: quicken 
1: quicker
7: quickly
1: quickly 
1: quicksand
1: quid
1: quiescent
7: quiet
2: quiet 
1: quietest 
11: quietly
3: quietly 
1: quietude
1: quietude 
1: quig
1: quill 
2: quills
2: quilt 
1: quish
1: quisition
5: quit
25: quite
1: quite 
1: quito
2: quitted
4: quitting
2: quiver
1: quiver 
1: quivered
1: quog
1: quoggy
1: quohag
3: quohog
5: quohog 
1: quohogs
1: quote
2: quoted
1: r
1: r off
1: raal
1: rabbins 
1: rabble
1: rabelais 
7: race
3: race 
1: races
3: rack 
1: rack  
1: racket
1: rad
1: rad 
1: rad s
1: rade s
1: rades
1: radiance
1: radiant
1: radiates
3: radiating
1: radical
15: radney
6: radney 
1: radney  
1: rafts
2: rag
1: ragamuffin
5: rage
2: rage 
1: rageous
3: ragged
1: ragged 
4: raging
1: rags 
1: rail
2: rail 
1: railroads 
1: rails 
1: raiment
3: rain
1: rain 
1: rainbow
2: rainbows
1: rains 
1: rainy
2: raise
1: raise 
8: raised
3: raises
1: raising
1: rake
1: rallies 
1: rally 
1: ram
13: ramadan
3: ramadan 
1: ramadans 
1: rambled
1: rammed
1: ramparts
11: ran
2: ran 
3: random
1: rang 
2: ranged
3: ranging
1: ranks
1: rape
1: raphael 
3: rapid
1: rapidity 
5: rapidly
1: rapping
1: rapscallions
4: rare
1: rare 
1: rare  
1: rarely
1: rarities
1: rascal
1: rascal 
1: rascals
1: rat
1: rate
5: rate 
41: rather
1: rather 
1: ratification
1: ratifying
1: rattle
1: rattling
1: raved
2: raving
1: raw
2: ray
1: rays 
1: rayther
1: razeed
1: razor 
1: razor back
1: re
1: re 
1: re discovery
7: reach
1: reach 
5: reached
1: reached 
9: reaching
9: read
1: read 
6: readily
2: readiness
6: reading
1: reads
1: reads 
23: ready
1: ready  
1: ready manned
13: real
1: realise
1: realities
4: reality
2: reality 
17: really
1: reaped
1: reapers
1: reaping
1: reappearance 
1: reappeared
1: reappearing
8: rear
3: rear 
4: rearing
1: rears
26: reason
4: reasonable
1: reasonableness
1: reasonest
1: reasoning
1: reasoning 
5: reasons
3: reasons 
1: rebel
1: rebelled
1: rebelling
1: rebellion
1: rebellion  
1: rebels
1: rebounds 
3: recall
1: recall  
1: recalled
1: recalled 
5: receive
10: received
1: received 
1: receives
9: receiving
3: recently
1: reception
1: reciprocal
1: reciprocat 
4: recklessly
1: recklessness
2: reckon
1: reckoned
1: reckoning
1: reclining
1: recluse
1: recog 
1: recognise
3: recognised
2: recognition
1: recognition 
1: recoil
1: recollect
2: recollection 
1: recommended
2: reconciled
4: record
2: record 
1: recorded
1: records 
1: recover
1: recovered
1: recovery
1: recruit 
2: recumbent
1: recur 
1: recurred 
1: recurring
11: red
2: red 
1: red cheeked
1: red cheeked 
1: reddened
1: reddenest
1: reddening
1: redder
1: redeemed
1: redeemed 
1: redeeming
1: rediscovery
1: redness
1: reduced
1: redundant
2: reef
1: reefing 
1: reefs
2: reel
1: reeled 
2: reeling
1: reeling 
1: reeving
2: refer
8: reference
3: referred
2: referring
3: refill
1: refining
1: refiningly
4: reflections
1: refrained
1: refuge
1: refuge s
1: refugees
6: refuse
1: refused 
1: refuses
1: refusing 
1: reg lar 
3: regal
1: regal 
2: regard
1: regard 
12: regarded
3: regarded 
2: regarding
1: regarding 
1: regardings
1: regent
1: region
2: region 
1: regions
1: regions 
1: regu 
13: regular
1: regular 
1: regularity
8: regularly
1: regulating
1: rehearse
1: rehearsing
1: reign
1: reign 
1: reigned
2: reigned 
1: reigneth
1: reigning
2: reigns
1: reinforcement
1: reiterated
1: reiterating
1: rejecting
1: rejoinder
1: rejoinder 
1: rejoined 
1: relapses
1: relate 
3: related
1: relation
1: relation 
1: relatives
1: relaxed 
1: relented 
3: reliable
1: reliably
1: relics
1: relied
1: relief
2: relief 
1: relieve
5: relieved
1: relieving
5: religion
1: religion 
1: religionists
2: religions
1: religions 
1: religious
1: relin 
1: relish
6: remain
1: remain 
13: remained
2: remaining
1: remaining 
8: remains
1: remark 
8: remarkable
1: remarks
1: remem 
5: remember
1: remember 
2: remembered
1: remembered 
2: remembering
1: remembrance
1: remembrances
3: reminded
1: reminding
1: reminiscence 
2: reminiscences
1: remnant
1: remnants 
1: remonstrances
1: remonstrate
1: remorse
1: remorse 
1: remorseless
5: remote
1: remote 
1: remoter
9: remotest
5: remove
4: removed
1: removed 
1: removing
1: rend
1: render
2: renders
1: rending 
1: renegades
1: renegades 
1: renown
1: renowned
1: rensselaers 
1: rented
1: repair
1: repair 
1: repaired 
1: repartees 
1: repassing
3: repast 
2: repeat
7: repeated
3: repeated 
1: repeatedly
1: repeating
1: repelled
1: repelling
1: repellingly
1: repels
1: repent
1: repentance
2: repentance 
1: repenting
2: repetition
1: repetitions
2: replacing
2: replenished
3: replied
4: replied 
3: reply 
4: report
3: reported
2: reporting
1: reports
5: repose
3: repose 
1: repre 
1: represent
3: represented
5: representing
1: represents
1: reprimand 
3: repugnance
1: repulses 
2: reputation
2: reputation 
1: repute
1: request
1: request 
2: requiem
1: requin 
2: require
2: required
5: requires
1: requirest
1: requiring
1: requisite
1: rescuing
2: research
1: researches 
1: resemblance
1: resembled
2: resembles
1: resembling
1: resentment
1: resentment 
1: reserve
2: reserved
1: reserved 
1: reserving
1: reservoirs
1: resided 
1: resident
3: resides
1: residing
1: residuary
1: residue
1: resign
1: resigned
1: resistance
1: resisted 
1: resolve
1: resolve 
10: resolved
2: resolves
1: resolving 
1: resort 
1: resorting
1: resounded
1: resounds
8: respect
4: respect 
1: respectable
1: respectable 
1: respectfully
1: respecting
2: respective
1: respectively
1: respectively 
4: respects
1: respects 
1: respite
1: resplendent
1: respond
1: responded
1: response 
1: responses
1: responsible
18: rest
9: rest 
1: rest  
2: rested
6: resting
3: restless
1: restored
1: restored 
1: restores
2: restrain
1: restrained
1: restraint
3: restricted
1: restricting
1: rests
1: result
2: resulting
1: results
1: resume
5: resumed
2: resuming
2: resurrection
1: resurrection 
1: resurrections
3: retain
5: retained
1: retained 
1: retaking
4: retired
1: retires
3: retiring
1: retraced
3: retreat
1: retreat 
1: retreated
1: retreated 
3: retreating
2: retreats
2: retribution 
8: return
1: return 
1: returne
8: returned
3: returning
2: returning 
2: rev 
1: reveal 
7: revealed
1: revealing
1: revelations
1: revellers 
5: revelry
4: revenge
4: revenge 
1: revengeful
1: revenue 
1: reverberating
2: reverence
1: reverence 
1: reverenced
1: reverend
1: reverential
